Date,Close_Prices,High_Prices,Low_Prices,Open_Prices,Volume,Symbol,sentiment
2025-02-05,165.2786407470703,165.6974445267357,159.92391680265308,160.71166350872454,2844700,APO,34.0,0.8867702484130859
2025-02-05,165.2786407470703,165.6974445267357,159.92391680265308,160.71166350872454,2844700,APO,33.0,0.9508649706840516
2025-02-06,164.41111755371094,167.77152904666997,162.74586854147262,167.63192778861992,2181100,APO,31.0,0.838970959186554
2025-02-06,164.41111755371094,167.77152904666997,162.74586854147262,167.63192778861992,2181100,APO,29.0,0.9391829371452332
2025-02-06,164.41111755371094,167.77152904666997,162.74586854147262,167.63192778861992,2181100,APO,30.0,0.92411208152771
2025-02-06,164.41111755371094,167.77152904666997,162.74586854147262,167.63192778861992,2181100,APO,28.0,0.9403001070022584
2025-02-07,162.9851837158203,166.67465874559463,162.64615424730735,165.08918398219868,2484800,APO,27.0,0.5896074771881104
2025-02-10,161.7088165283203,164.29144739310365,160.33273612551713,164.0222261785172,2165300,APO,,0.5896074771881104
2025-02-11,157.6304473876953,160.08344301739106,156.43386304037577,160.0435634658185,3787000,APO,,0.5896074771881104
2025-02-12,156.99227905273438,157.53073672136097,152.365474761015,154.65893712969154,4266200,APO,,0.5896074771881104
2025-02-13,157.4709014892578,159.4353003732243,156.45379792941935,157.75010400130824,2441900,APO,,0.5896074771881104
2025-02-14,162.3470001220703,162.68602958178863,157.14184348843233,157.81991762326527,2665800,APO,,0.5896074771881104
2025-02-18,162.05999755859375,164.22000122070312,160.69000244140625,163.50999450683594,2503200,APO,24.0,0.755961000919342
2025-02-18,162.05999755859375,164.22000122070312,160.69000244140625,163.50999450683594,2503200,APO,25.0,0.931402027606964
2025-02-19,160.27000427246094,161.1699981689453,159.1199951171875,160.5,3035500,APO,,0.931402027606964
2025-02-20,156.7899932861328,160.1999969482422,154.3300018310547,159.9600067138672,3567000,APO,23.0,0.8148922920227051
2025-02-20,156.7899932861328,160.1999969482422,154.3300018310547,159.9600067138672,3567000,APO,22.0,0.9033114314079284
2025-02-20,156.7899932861328,160.1999969482422,154.3300018310547,159.9600067138672,3567000,APO,21.0,0.8713160753250122
2025-02-21,150.5500030517578,157.4499969482422,148.60000610351562,157.10000610351562,3731500,APO,20.0,0.9500285983085632
2025-02-21,150.5500030517578,157.4499969482422,148.60000610351562,157.10000610351562,3731500,APO,19.0,0.9465516805648804
2025-02-24,147.8699951171875,152.66000366210938,146.44000244140625,151.91000366210938,4379300,APO,12.0,0.9352930784225464
2025-02-24,147.8699951171875,152.66000366210938,146.44000244140625,151.91000366210938,4379300,APO,13.0,0.6714286804199219
2025-02-24,147.8699951171875,152.66000366210938,146.44000244140625,151.91000366210938,4379300,APO,14.0,0.918306529521942
2025-02-24,147.8699951171875,152.66000366210938,146.44000244140625,151.91000366210938,4379300,APO,15.0,0.9428582787513732
2025-02-24,147.8699951171875,152.66000366210938,146.44000244140625,151.91000366210938,4379300,APO,16.0,0.7480357885360718
2025-02-24,147.8699951171875,152.66000366210938,146.44000244140625,151.91000366210938,4379300,APO,17.0,0.9412439465522766
2025-02-25,145.3000030517578,148.89999389648438,141.1999969482422,148.0,5772700,APO,11.0,0.9367558360099792
