Datetime,Open_Prices,Low_Prices,High_Prices,Close_Prices,Volume
2025-02-13 15:30:00,241.55,241.01,242.0,241.4,5209276
2025-02-14 09:30:00,241.07,241.0,245.05,244.38,11286651
2025-02-14 10:30:00,244.38,243.16,244.38,243.95,4923421
2025-02-14 11:30:00,243.94,243.69,244.53,243.82,4178251
2025-02-14 12:30:00,243.82,243.34,244.31,244.0,2425988
2025-02-14 13:30:00,243.98,243.94,244.54,244.15,1978801
2025-02-14 14:30:00,244.14,243.91,244.37,244.1,2427820
2025-02-14 15:30:00,244.08,243.91,245.41,244.57,0
2025-02-18 09:30:00,244.44,242.86,245.18,244.09,10828281
2025-02-18 10:30:00,244.08,243.94,244.97,244.73,3160243
2025-02-18 11:30:00,244.72,244.18,245.05,244.43,3072706
2025-02-18 12:30:00,244.45,243.25,244.5,243.43,2653804
2025-02-18 13:30:00,243.43,241.84,243.48,243.05,3303856
2025-02-18 14:30:00,243.05,242.98,243.84,243.52,2923884
2025-02-18 15:30:00,243.53,243.15,244.6,244.47,0
2025-02-19 09:30:00,244.61,243.79,246.01,243.94,7953912
2025-02-19 10:30:00,243.93,243.16,244.49,244.4,3875838
2025-02-19 11:30:00,244.37,244.03,245.65,245.15,3328522
2025-02-19 12:30:00,245.14,244.23,245.28,244.71,1965036
2025-02-19 13:30:00,244.71,244.22,245.19,244.9,2025071
2025-02-19 14:30:00,244.9,244.45,245.17,244.88,2676275
2025-02-19 15:30:00,244.88,244.54,245.09,244.88,2963616
2025-02-20 09:30:00,244.97,244.29,246.78,244.74,7059474
2025-02-20 10:30:00,244.74,244.59,246.7,246.13,4286584
2025-02-20 11:30:00,246.13,245.03,246.46,246.38,4072175
2025-02-20 12:30:00,246.37,245.16,246.41,245.45,2248069
2025-02-20 13:30:00,245.44,245.02,245.58,245.26,1791583
2025-02-20 14:30:00,245.25,244.85,245.75,245.62,2339026
2025-02-20 15:30:00,245.61,245.36,246.0,245.86,3152476
2025-02-21 09:30:00,245.96,245.22,246.94,245.79,8207297
2025-02-21 10:30:00,245.77,245.22,247.45,247.13,5440754
2025-02-21 11:30:00,247.15,246.65,247.65,247.37,4700950
2025-02-21 12:30:00,247.38,247.1,248.69,247.44,6864397
2025-02-21 13:30:00,247.45,246.43,248.08,246.49,4986285
2025-02-21 14:30:00,246.51,245.39,246.82,245.8,7827784
2025-02-21 15:30:00,245.82,245.33,246.09,245.59,5597978
2025-02-24 09:30:00,244.81,244.59,248.86,247.85,13193734
2025-02-24 10:30:00,247.85,246.01,247.95,247.11,6815696
2025-02-24 11:30:00,247.13,247.12,248.32,247.79,3637316
2025-02-24 12:30:00,247.82,247.22,248.14,248.05,2550281
2025-02-24 13:30:00,248.05,247.67,248.8,248.66,4364229
2025-02-24 14:30:00,248.66,247.43,248.75,247.61,3655005
2025-02-24 15:30:00,247.6,246.82,247.79,247.23,4976083
2025-02-25 09:30:00,248.0,244.91,249.52,245.11,12543414
2025-02-25 10:30:00,245.13,244.91,246.87,246.52,4912736
2025-02-25 11:30:00,246.54,246.43,249.98,249.58,6711698
2025-02-25 12:30:00,249.58,247.73,249.62,247.98,3191684
2025-02-25 13:30:00,247.97,247.16,248.62,247.67,3236285
2025-02-25 14:30:00,247.64,247.55,248.59,247.72,3408426
2025-02-25 15:30:00,247.73,246.04,247.77,247.05,4291190
2025-02-26 09:30:00,244.33,241.42,244.98,243.48,11922325
2025-02-26 10:30:00,243.49,241.58,243.72,241.81,4844532
2025-02-26 11:30:00,241.8,241.75,243.89,243.13,3260739
2025-02-26 12:30:00,243.14,240.24,243.29,240.34,4011307
2025-02-26 13:30:00,240.34,239.13,240.39,239.82,4096351
2025-02-26 14:30:00,239.81,239.53,240.45,239.95,3160834
2025-02-26 15:30:00,239.96,239.68,240.71,240.31,4066395
2025-02-27 09:30:00,239.35,238.47,242.28,241.38,11860928
2025-02-27 10:30:00,241.36,240.64,242.46,241.52,3314596
2025-02-27 11:30:00,241.52,239.59,241.78,241.06,2483584
2025-02-27 12:30:00,241.13,240.36,242.18,241.9,2123940
2025-02-27 13:30:00,241.93,240.52,242.05,240.63,2376630
2025-02-27 14:30:00,240.65,238.77,240.66,238.92,4411625
2025-02-27 15:30:00,238.96,237.1,239.37,237.38,5981830
2025-02-28 09:30:00,236.95,234.51,237.8,237.6,9707088
2025-02-28 10:30:00,237.58,236.49,237.83,236.92,3856963
2025-02-28 11:30:00,236.87,236.55,237.75,237.6,2652791
2025-02-28 12:30:00,237.69,236.23,237.9,237.41,3253563
2025-02-28 13:30:00,237.4,237.01,238.31,237.92,3040911
2025-02-28 14:30:00,237.88,237.7,239.78,239.71,4607390
2025-02-28 15:30:00,239.69,238.81,242.09,241.84,7654870
2025-03-03 09:30:00,241.72,239.82,244.03,241.49,10137001
2025-03-03 10:30:00,241.5,241.13,242.63,241.19,3962348
2025-03-03 11:30:00,241.23,240.66,242.55,242.54,2726862
2025-03-03 12:30:00,242.54,240.74,242.99,240.96,2892774
2025-03-03 13:30:00,241.02,240.44,241.87,241.15,3716220
2025-03-03 14:30:00,241.16,236.65,242.0,236.89,5255129
2025-03-03 15:30:00,236.88,236.11,238.56,238.14,6362960
2025-03-04 09:30:00,237.71,236.35,239.39,238.4,12574876
2025-03-04 10:30:00,238.4,237.65,239.81,238.63,6419558
2025-03-04 11:30:00,238.59,238.13,240.07,238.16,4617834
2025-03-04 12:30:00,238.11,236.16,238.18,236.75,4297681
2025-03-04 13:30:00,236.75,236.43,238.56,238.29,3524557
2025-03-04 14:30:00,238.29,237.98,239.25,238.69,4105168
2025-03-04 15:30:00,238.68,234.7,238.75,236.07,6470426
2025-03-05 09:30:00,235.49,230.55,235.95,230.92,11396281
2025-03-05 10:30:00,230.94,230.14,233.2,230.65,4757085
2025-03-05 11:30:00,230.62,229.23,234.65,234.54,5831367
